Rating,Review Date,Employee,Description
3.0,"Sep 12, 2014","Former  Employee  in Ashburn, Virginia","[' Decent healthcare and 401k, not enough leave time']"
5.0,"Aug 27, 2014","Current  Senior Engineering Manager  in Sunnyvale, California","["" Best: a million choices Worst: a million choices... just kidding -- worst part was I used my health reimbursement account and didn't realize that the requests weren't being filed as claims and therefor were not counting towards my deductible""]"
5.0,"Aug 21, 2014","Former  Visual Designer  in Sunnyvale, California","[' Onsite gym, many classes, and 401k. You can also get a free phone!']"
3.0,"Aug 25, 2014","Former  Employee  in Sunnyvale, California",[' 401k is good. espp is good.']
5.0,"Aug 21, 2014","Current  Employee  in Sunnyvale, California",[' health insurance for family is great']
5.0,"Aug 14, 2014","Current  Software Engineer  in Sunnyvale, California",[' You get every kind of perk imaginable.']
4.0,"Aug 08, 2014","Former  Employee  in Sunnyvale, California","[' At HQ there is always plenty to eat, coffee, snacks as well as full breakfast, lunch and dinner. There are several medical/dental options to suit single and family needs. The additional ESPP and 401K plans allow for additional savings and investment in the company.']"
4.0,"Aug 03, 2014","Former  Technical Yahoo  in Sunnyvale, California",[' Generous health insurance and great perks.']
5.0,"Aug 01, 2014","Former  Employee  in Sunnyvale, California",[' Benefits are the best in the valley!']
5.0,"Jul 30, 2014","Current  Senior Software Engineer  in San Diego, California","[' 401k matching, great health insurance and paid cell phone']"
5.0,"Jul 23, 2014","Former  Senior Java Engineer  in San Diego, California",[' Amazing benefits package. Free lunch and free smartphone with fully paid phone plan. 401k match was great too.']
3.0,"Aug 04, 2014","Former  Employee  in Sunnyvale, California",[' food and transportation covered; that adds up']
3.0,"Aug 03, 2014","Former  Employee  in Sunnyvale, California",[' Employee Stock Purchase Plan was excellent.']
